customer_id,nationality,customer_type,income_band,loyalty_score,churn_risk_score,brand,model,trim,model_year,engine_type,fuel_type,color,vehicle_price,sale_date,sale_channel,discount_percentage,final_sale_price,payment_type,loan_amount,stock_days,inventory_status,depreciation_rate,mileage,avg_monthly_km,driving_pattern,last_service_date,service_count_last_12_months,avg_service_cost,next_service_due_days,warranty_status,service_revenue_to_date,parts_revenue_to_date,total_customer_lifetime_value,year,car_price_qar,monthly_sales,dealer_rating,promotion_active,transmission,market_demand_index,maintenance_cost_qar,sale_month,sale_year,fuel_energy_price_index,interest_rate_pct,supply_chain_constraint_index,competitive_pressure_index,seasonality_index,used_car_market_pressure,weather_climate_index
CUST00183,British,Fleet,Medium,50,0.28,Mercedes,E-Class,Mid,2021,Inline-4,Diesel,Blue,312616,2022-05-16,Online,8,287606.72,Lease,196368,67,Slow-Moving,0.1,26989,1081,City,2023-08-04,7,1413,22,Under Warranty,24666,8761,221692,2018,119153,34,4.3,0,Automatic,0.95,5875,1,2019,94.9816047538945,4.9945632738667936,0.8109988176929792,0.9105156546977391,0.8793472247226499,1.3472365776964197,1.044933121870557
CUST00217,Qatari,Individual,High,92,0.19,Nissan,Patrol,Platinum,2022,V8,Hybrid,White,362546,2022-12-01,Fleet Sales,0,362546.0,Cash,37377,61,Fast-Moving,0.18,101553,4433,City,2023-04-22,3,2942,16,Under Warranty,4355,5587,495134,2016,259757,31,3.7,0,Automatic,0.79,7090,1,2019,118.02857225639664,4.831648384925613,0.4291583969190981,0.7674339628273545,0.7568906650972348,0.9945170437193704,1.12866112505779
CUST00316,Indian,Individual,High,100,0.35,Lexus,LX600,Mid,2023,V8,Electric,Black,279149,2023-08-04,Online,4,267983.04,Cash,115859,156,Medium-Moving,0.14,8969,4066,City,2025-04-30,7,2924,80,Out of Warranty,5843,768,439153,2015,253961,18,4.2,0,Automatic,1.0,5138,1,2019,109.2797576724562,4.204615650011441,0.5426477860589203,1.1715988198911527,0.7758155349833296,0.6954656106321858,0.8779079252274005
CUST00337,Qatari,Individual,Low,63,0.14,Nissan,Altima,Premium,2022,Inline-4,Petrol,Gray,242560,2024-03-09,Showroom,2,237708.8,Lease,88191,12,Slow-Moving,0.18,90504,3853,Highway,2024-04-15,6,3491,53,Out of Warranty,1519,9089,207485,2015,44399,10,4.9,0,Automatic,1.25,8353,1,2019,103.94633936788146,5.929066680405952,0.7642964458004727,0.5751827607873905,0.808402676908553,1.2366417866100927,0.7735072390040445
CUST00372,Filipino,Fleet,Medium,90,0.3,Toyota,Camry,Base,2022,V6,Electric,Gray,123011,2024-03-24,Showroom,6,115630.34,Bank Loan,24885,142,Medium-Moving,0.24,31678,4583,City,2026-02-08,8,1114,68,Under Warranty,23857,10179,200739,2018,77678,24,3.7,1,Automatic,0.97,5578,1,2019,86.24074561769746,5.406496642034515,0.637462541167136,0.8702851327991525,0.822192000618969,0.9186781356832957,0.7913079446132769
CUST00616,Indian,Corporate,Low,79,0.35,Lexus,LX600,Base,2022,V8,Electric,Blue,252724,2023-11-27,Fleet Sales,1,250196.76,Lease,56227,162,Fast-Moving,0.13,94784,5167,Mixed,2024-03-09,7,937,93,Out of Warranty,15796,525,278013,2021,216762,39,4.1,0,Automatic,0.9,3388,1,2019,86.2397808134481,6.962803969296015,0.8169997270444256,0.960168011992178,0.8453570855263264,1.0946274834524972,1.0181689550186364
CUST00825,Indian,Corporate,Low,41,0.36,Nissan,Altima,Base,2022,Inline-4,Diesel,White,267697,2024-03-23,Online,1,265020.03,Cash,122415,79,Slow-Moving,0.2,39038,2552,Highway,2024-09-07,5,1491,30,Out of Warranty,1225,11297,279208,2020,204564,9,4.5,0,Manual,1.11,3365,1,2019,82.32334448672798,3.628438321928233,0.9728455308560018,1.0604515914763053,0.8532760173780967,0.6072652901739388,0.9405348203948977
CUST00850,Jordanian,Individual,Low,93,0.19,BMW,X7,Premium,2022,Inline-4,Petrol,Gray,281457,2023-09-29,Online,0,281457.0,Bank Loan,87151,102,Fast-Moving,0.16,77686,4791,Mixed,2024-11-19,7,1402,40,Under Warranty,11514,14321,330906,2016,348811,2,4.5,0,Automatic,0.71,5376,1,2019,114.6470458309974,6.075471710220505,0.3815826814006382,0.7255768243424057,0.9734298072925216,1.1315839895159923,0.8918964785863542
CUST01058,Jordanian,Fleet,High,98,0.13,Mercedes,E-Class,Base,2022,Inline-4,Petrol,White,151998,2022-06-29,Fleet Sales,8,139838.16,Cash,89174,83,Fast-Moving,0.18,55226,3789,City,2023-02-07,4,1160,101,Out of Warranty,16862,9080,378888,2017,133938,44,3.9,0,Automatic,0.95,2364,1,2019,104.04460046972835,6.551795514046244,0.7966974014786425,0.9495375261259852,1.0057439144956248,0.8735504889451243,0.7216644472657043
CUST01196,British,Fleet,Medium,74,0.41,Mercedes,G-Class,Base,2024,V6,Electric,White,329473,2022-01-05,Online,0,329473.0,Cash,74827,137,Fast-Moving,0.11,48780,5226,Mixed,2023-09-12,0,1378,18,Out of Warranty,16531,87,499293,2015,344150,5,4.6,0,Manual,0.75,2722,1,2019,108.32290311184181,6.537946276753228,0.46124090894248015,0.6425611771074262,0.8853275248758136,0.8341897497184945,1.125273412499342
